URL,ORP_kod,ORP_nazev,POU_kod,POU_nazev,PSC,RSOB_ID,RUIAN_ID,adresni_posta,bud_ID,cast_obce_dil_kod,cast_obce_dil_nazev,cast_obce_kod,cast_obce_nazev,cislo_domovni_typ,cislo_orientacni_typ,druh_domu_SLDB_hodnota,druh_domu_SLDB_kod,druh_domu_SLDB_text,druh_plynu_hodnota,druh_plynu_kod,druh_plynu_text,druh_vlastnika_SLDB_hodnota,druh_vlastnika_SLDB_kod,druh_vlastnika_SLDB_text,druh_vlastnika_hodnota,druh_vlastnika_kod,druh_vlastnika_text,duplicita_domovniho_cisla_kod,duplicita_domovniho_cisla_nazev,financni_urad_kod,financni_urad_nazev,katastralni_uzemi_kod,katastralni_uzemi_nazev,klasifikace_CZCC_kod,klasifikace_CZCC_popis,ISKN_ID,ulice_nazev,cislo_domovni,cislo_orientacni,kraj_NUTS_kod,kraj_NUTS_nazev,material_nosnych_zdi_hodnota,material_nosnych_zdi_kod,material_nosnych_zdi_text,matricni_urad_kod,matricni_urad_nazev,mestsky_obvod_kod,mestsky_obvod_nazev,mestsky_obvod_prahy_kod,mestsky_obvod_prahy_nazev,nadzemni_podlazi_SLDB_hodnota,nadzemni_podlazi_SLDB_kod,nadzemni_podlazi_SLDB_text,obec_kod,obec_nazev,obestaveny_prostor_m3_hodnota,obestaveny_prostor_m3_kod,obestaveny_prostor_m3_text,obvykly_pobyt_SLDB_hodnota,obvykly_pobyt_SLDB_kod,obvykly_pobyt_SLDB_text,okres_kod,okres_nazev,parcelni_cislo,pocet_bytu_hodnota,pocet_bytu_kod,pocet_bytu_text,pocet_evidovanych_obyvatel_hodnota,pocet_evidovanych_obyvatel_kod,pocet_evidovanych_obyvatel_text,pocet_podlazi_hodnota,pocet_podlazi_kod,pocet_podlazi_text,podlahova_plocha_m2_hodnota,podlahova_plocha_m2_kod,podlahova_plocha_m2_text,presah_jina_obec_kod,presah_jina_obec_nazev,pripojeni_odpad_hodnota,pripojeni_odpad_kod,pripojeni_odpad_text,pripojeni_plyn_hodnota,pripojeni_plyn_kod,pripojeni_plyn_text,pripojeni_vodovod_SLDB_hodnota,pripojeni_vodovod_SLDB_kod,pripojeni_vodovod_SLDB_text,pripojeni_vodovod_hodnota,pripojeni_vodovod_kod,pripojeni_vodovod_text,rohovy_objekt_kod,rohovy_objekt_nazev,souradnice_definicniho_bodu,spravni_obvod_prahy_kod,spravni_obvod_prahy_nazev,statisticky_obvod_kod,statisticky_obvod_nazev,stavebni_urad_kod,stavebni_urad_nazev,topne_medium_hlavni_hodnota,topne_medium_hlavni_kod,topne_medium_hlavni_text,topne_medium_vedlejsi_hodnota,topne_medium_vedlejsi_kod,topne_medium_vedlejsi_text,trvaly_pobyt_SLDB_hodnota,trvaly_pobyt_SLDB_kod,trvaly_pobyt_SLDB_text,typ_vyuziti_kod,typ_vyuziti_popis,ulice_kod,uzemne_technicka_jednotka_kod,uzemne_technicka_jednotka_nazev,vchod,vystavba_rekonstrukce_SLDB_hodnota,vystavba_rekonstrukce_SLDB_kod,vystavba_rekonstrukce_SLDB_text,vytah_hodnota,vytah_kod,vytah_text,zakladni_sidelni_jednotka_dil_kod,zakladni_sidelni_jednotka_dil_nazev,zakladni_sidelni_jednotka_kod,zakladni_sidelni_jednotka_nazev,zastavena_plocha_m2_hodnota,zastavena_plocha_m2_kod,zastavena_plocha_m2_text,zpusob_vytapeni_SLDB_hodnota,zpusob_vytapeni_SLDB_kod,zpusob_vytapeni_SLDB_text,zpusob_vytapeni_hodnota,zpusob_vytapeni_kod,zpusob_vytapeni_text,zpusob_vyuziti_KN_RUIAN_kod,zpusob_vyuziti_KN_RUIAN_popis
http://apl.czso.cz/irso4/buddet.jsp?budid=3499605&idob=1035394481&b=11,6203,Brno,62031,Brno,60200,1035394481,84294647,Brno 2,3499605,411582,Brno-město,411582,Brno-město,číslo popisné, , ,          ,          , ,          ,          , ,          ,          , ,4,ostatní právnické osoby,ano,,2887,"Finanční úřad pro Jihomoravský kraj, územní pracoviště Brno I",610003,Město Brno,124211,Garáže nadzemní,24369927010,Husova,712,14a,3115 (CZ064),Jihomoravský kraj, ,7,Jiné materiály a kombinace,8265,Úřad městské části Brno-střed - Matrika,550973,Brno-střed,          ,          , ,          ,          ,582786,Brno,44000,3,2 000 a více, ,          ,          ,40711 (CZ0642),Brno-město,1035394481,0,0,0 bytů, ,          ,          ,10,10,10 podlaží,12000,4,500 a více,0,ne, ,1,Přípoj na kanalizační síť, ,3,Bez plynu, ,          ,          , ,1,s vodovodem,2005010010,,1,          ,          ,535125,Statistický obvod 1145,607111,Stavební úřad - Úřad městské části Brno-střed, ,1,zemní plyn, ,0,není, ,          ,          ,8,"Objekt, který slouží odstavování nebo parkování vozidel",24457,610003,Město Brno,1, ,          ,          , ,1,s výtahem,100140,Náměstí Svobody,10014,Náměstí Svobody,1518,3,200 a více, ,          ,          , ,2,centrální dálkové (kotel mimo stavbu),18,"Objekt popřípadě prostor, který slouží odstavování nebo parkování silničních vozidel"
http://apl.czso.cz/irso4/buddet.jsp?budid=2514854&idob=1031344136&b=11,6203,Brno,62031,Brno,60200,1031344136,18944493,Brno 2,2514854,411582,Brno-město,411582,Brno-město,číslo popisné, , ,19,Provozní budovy s byty, ,          ,          , ,6,Jiná právnická osoba, ,4,ostatní právnické osoby,ano,,2887,"Finanční úřad pro Jihomoravský kraj, územní pracoviště Brno I",610003,Město Brno,123012,Budovy pro obchod a služby,712265702,náměstí Svobody,702,9,3115 (CZ064),Jihomoravský kraj, ,4,Stěnové panely,8265,Úřad městské části Brno-střed - Matrika,550973,Brno-střed,          ,          , ,6,6-8 podlaží,582786,Brno,27203,3,2 000 a více, ,3,3 - 5,40711 (CZ0642),Brno-město,1031344136,6,5,5-6 bytů, ,3,3 - 5,8,8,8 podlaží,5786,4,500 a více,0,ne, ,1,Přípoj na kanalizační síť, ,1,Plyn z veřejné sítě, ,1,Vodovod v domě - z veřejné sítě, ,1,s vodovodem,2001310000,,1,          ,          ,535168,Statistický obvod 1149,607111,Stavební úřad - Úřad městské části Brno-střed, ,          ,          , ,          ,          , ,3,3 - 5,10,"Stavba sloužící více účelům (např. obchodnímu, administrativnímu, bytovému, rekreačnímu apod.).",28631,610003,Město Brno,1, ,16,2005, ,1,s výtahem,100140,Náměstí Svobody,10014,Náměstí Svobody,1190,3,200 a více, ,7,Kotelna v domě na ostatní paliva, ,2,centrální dálkové (kotel mimo stavbu),10,"Stavba s prodejnami a jinými obchodními prostory, velkoprodejny, nákupní střediska, obchodní domy apod."
http://apl.czso.cz/irso4/buddet.jsp?budid=2372839&idob=1030236810&b=11,6203,Brno,62031,Brno,60200,1030236810,18945007,Brno 2,2372839,411582,Brno-město,411582,Brno-město,číslo popisné, , ,          ,          , ,          ,          , ,          ,          , ,          ,          ,ano,,2887,"Finanční úřad pro Jihomoravský kraj, územní pracoviště Brno I",610003,Město Brno,122011,Budovy peněžních ústavů,644416702,Joštova,694,5,3115 (CZ064),Jihomoravský kraj, ,          ,          ,8265,Úřad městské části Brno-střed - Matrika,550973,Brno-střed,          ,          , ,          ,          ,582786,Brno,          ,          ,          , ,          ,          ,40711 (CZ0642),Brno-město,1030236810,0,0,0 bytů, ,          ,          ,6,6,6 podlaží,          ,          ,          ,0,ne, ,          ,          , ,          ,          , ,          ,          , ,          ,          ,2005740000,,1,          ,          ,535061,Statistický obvod 1139,607111,Stavební úřad - Úřad městské části Brno-střed, ,          ,          , ,          ,          , ,          ,          ,5,"Zařízení veřejné správy a řízení, školské a výchovné, kulturní a osvětové, sportovní a tělovýchovné, zdravotnické a sociální a obchodu",25089,610003,Město Brno,1, ,          ,          , ,1,s výtahem,100140,Náměstí Svobody,10014,Náměstí Svobody,          ,          ,          , ,          ,          , ,          ,          ,15,"Stavba pro služby, tělesnou výchovu a rekreaci, kulturu, zdravotnictví a sociální péči, předškolní zařízení, školství a učiliště včetně internátů a kolejí, vědu a výzkum apod."
http://apl.czso.cz/irso4/buddet.jsp?budid=2392030&idob=1017032637&b=11,6203,Brno,62031,Brno,60200,1017032637,18948928,Brno 2,2392030,411582,Brno-město,411582,Brno-město,číslo popisné, , ,          ,          , ,          ,          , ,          ,          , ,          ,          ,ano,,2887,"Finanční úřad pro Jihomoravský kraj, územní pracoviště Brno I",610003,Město Brno,121112,"Budovy restaurací, barů, kaváren",505716702,Veselá,688,7,3115 (CZ064),Jihomoravský kraj, ,          ,          ,8265,Úřad městské části Brno-střed - Matrika,550973,Brno-střed,          ,          , ,          ,          ,582786,Brno,          ,          ,          , ,          ,          ,40711 (CZ0642),Brno-město,1017032637,0,0,0 bytů, ,          ,          ,          ,          ,          ,          ,          ,          ,0,ne, ,          ,          , ,          ,          , ,          ,          , ,          ,          ,2006160020,,1,          ,          ,535125,Statistický obvod 1145,607111,Stavební úřad - Úřad městské části Brno-střed, ,          ,          , ,          ,          , ,          ,          ,5,"Zařízení veřejné správy a řízení, školské a výchovné, kulturní a osvětové, sportovní a tělovýchovné, zdravotnické a sociální a obchodu",34452,610003,Město Brno,1, ,          ,          , ,          ,          ,100140,Náměstí Svobody,10014,Náměstí Svobody,          ,          ,          , ,          ,          , ,          ,          ,5,"Zařízení veřejné správy a řízení, školské a výchovné, kulturní a osvětové, sportovní a tělovýchovné, zdravotnické a sociální a obchodu"
http://apl.czso.cz/irso4/buddet.jsp?budid=2261206&idob=1017032602&b=11,6203,Brno,62031,Brno,60200,1017032602,18948901,Brno 2,2261206,411582,Brno-město,411582,Brno-město,číslo popisné, , ,          ,          , ,          ,          , ,          ,          , ,          ,          ,ano,,2887,"Finanční úřad pro Jihomoravský kraj, územní pracoviště Brno I",610003,Město Brno,123012,Budovy pro obchod a služby,505442702,Dominikánské náměstí,685,1A,3115 (CZ064),Jihomoravský kraj, ,          ,          ,8265,Úřad městské části Brno-střed - Matrika,550973,Brno-střed,          ,          , ,          ,          ,582786,Brno,          ,          ,          , ,          ,          ,40711 (CZ0642),Brno-město,1017032602,0,0,0 bytů, ,          ,          ,1,1,1 podlaží,          ,          ,          ,0,ne, ,          ,          , ,          ,          , ,          ,          , ,          ,          ,2005050000,,1,          ,          ,535125,Statistický obvod 1145,607111,Stavební úřad - Úřad městské části Brno-střed, ,          ,          , ,          ,          , ,          ,          ,5,"Zařízení veřejné správy a řízení, školské a výchovné, kulturní a osvětové, sportovní a tělovýchovné, zdravotnické a sociální a obchodu",22829,610003,Město Brno,1, ,          ,          , ,2,bez výtahu,100140,Náměstí Svobody,10014,Náměstí Svobody,          ,          ,          , ,          ,          , ,          ,          ,5,"Zařízení veřejné správy a řízení, školské a výchovné, kulturní a osvětové, sportovní a tělovýchovné, zdravotnické a sociální a obchodu"
http://apl.czso.cz/irso4/buddet.jsp?budid=2064596&idob=1017032505&b=11,6203,Brno,62031,Brno,60200,1017032505,18948693,Brno 2,2064596,411582,Brno-město,411582,Brno-město,číslo popisné, , ,4,Bytový dům, ,          ,          , ,1,Fyzická osoba, ,1,fyzická osoba,ano,,2887,"Finanční úřad pro Jihomoravský kraj, územní pracoviště Brno I",610003,Město Brno,112211,Budovy tří a vícebytové - typové,505666702,Poštovská,657,4,3115 (CZ064),Jihomoravský kraj, ,7,Jiné materiály a kombinace,8265,Úřad městské části Brno-střed - Matrika,550973,Brno-střed,          ,          , ,6,6-8 podlaží,582786,Brno,          ,          ,          , ,9,40-49,40711 (CZ0642),Brno-město,1017032505,61,11,50-99 bytů, ,8,30-39,9,9,9 podlaží,          ,          ,          ,0,ne, ,1,Přípoj na kanalizační síť, ,1,Plyn z veřejné sítě, ,1,Vodovod v domě - z veřejné sítě, ,1,s vodovodem,2001420000,,1,          ,          ,535168,Statistický obvod 1149,607111,Stavební úřad - Úřad městské části Brno-střed, ,          ,          , ,          ,          , ,8,30-39,3,Budova pro bydlení,30112,610003,Město Brno,1, ,3,1920-1945, ,1,s výtahem,100140,Náměstí Svobody,10014,Náměstí Svobody,          ,          ,          , ,9,Kotelna mimo dům, ,2,centrální dálkové (kotel mimo stavbu),3,Budova pro bydlení
http://apl.czso.cz/irso4/buddet.jsp?budid=1411723&idob=1017032491&b=11,6203,Brno,62031,Brno,60200,1017032491,18948685,Brno 2,1411723,411582,Brno-město,411582,Brno-město,číslo popisné, , ,19,Provozní budovy s byty, ,          ,          , ,12,Obec, ,3,obec,ano,,2887,"Finanční úřad pro Jihomoravský kraj, územní pracoviště Brno I",610003,Město Brno,127411,Budovy nebytové ostatní,505413702,Dominikánské náměstí,656,2,3115 (CZ064),Jihomoravský kraj, ,10,"Kámen, cihly, tvárnice vč. kombinací",8265,Úřad městské části Brno-střed - Matrika,550973,Brno-střed,          ,          , ,5,5 podlaží,582786,Brno,          ,          ,          , ,1,1,40711 (CZ0642),Brno-město,1017032491,2,2,2 byty, ,          ,          ,4,4,4 podlaží,          ,          ,          ,0,ne, ,1,Přípoj na kanalizační síť, ,1,Plyn z veřejné sítě, ,1,Vodovod v domě - z veřejné sítě, ,1,s vodovodem,2006180000,,1,          ,          ,535125,Statistický obvod 1145,607111,Stavební úřad - Úřad městské části Brno-střed, ,          ,          , ,          ,          , ,0,0,9,Stavba jiného než výše uvedeného způsobu využití,22829,610003,Město Brno,1, ,3,1920-1945, ,1,s výtahem,100140,Náměstí Svobody,10014,Náměstí Svobody,          ,          ,          , ,9,Kotelna mimo dům, ,2,centrální dálkové (kotel mimo stavbu),19,Stavba jiného než výše uvedeného způsobu využití
http://apl.czso.cz/irso4/buddet.jsp?budid=2261211&idob=1017032343&b=11,6203,Brno,62031,Brno,60200,1017032343,18948537,Brno 2,2261211,411582,Brno-město,411582,Brno-město,číslo popisné, , ,4,Bytový dům, ,          ,          , ,12,Obec, ,3,obec,ano,,2887,"Finanční úřad pro Jihomoravský kraj, územní pracoviště Brno I",610003,Město Brno,112211,Budovy tří a vícebytové - typové,505991702,Solniční,640,6,3115 (CZ064),Jihomoravský kraj, ,10,"Kámen, cihly, tvárnice vč. kombinací",8265,Úřad městské části Brno-střed - Matrika,550973,Brno-střed,          ,          , ,5,5 podlaží,582786,Brno,          ,          ,          , ,6,15-19,40711 (CZ0642),Brno-město,1017032343,9,6,7-9 bytů, ,6,15-19,5,5,5 podlaží,          ,          ,          ,0,ne, ,1,Přípoj na kanalizační síť, ,1,Plyn z veřejné sítě, ,1,Vodovod v domě - z veřejné sítě, ,1,s vodovodem,2005680000,,1,          ,          ,535061,Statistický obvod 1139,607111,Stavební úřad - Úřad městské části Brno-střed, ,          ,          , ,          ,          , ,7,20-29,3,Budova pro bydlení,31950,610003,Město Brno,1, ,3,1920-1945, ,2,bez výtahu,100140,Náměstí Svobody,10014,Náměstí Svobody,          ,          ,          , ,8,Bez ústředního topení, ,4,bez topení,3,Budova pro bydlení
http://apl.czso.cz/irso4/buddet.jsp?budid=1817418&idob=1017032319&b=11,6203,Brno,62031,Brno,60200,1017032319,18948502,Brno 2,1817418,411582,Brno-město,411582,Brno-město,číslo popisné, , ,          ,          , ,          ,          , ,          ,          , ,          ,          ,ano,,2887,"Finanční úřad pro Jihomoravský kraj, územní pracoviště Brno I",610003,Město Brno,127411,Budovy nebytové ostatní,505412702,Rašínova,637,7,3115 (CZ064),Jihomoravský kraj, ,          ,          ,8265,Úřad městské části Brno-střed - Matrika,550973,Brno-střed,          ,          , ,          ,          ,582786,Brno,          ,          ,          , ,          ,          ,40711 (CZ0642),Brno-město,1017032319,0,0,0 bytů, ,          ,          ,1,1,1 podlaží,          ,          ,          ,0,ne, ,          ,          , ,          ,          , ,          ,          , ,          ,          ,2005510000,,1,          ,          ,535109,Statistický obvod 1143,607111,Stavební úřad - Úřad městské části Brno-střed, ,          ,          , ,          ,          , ,          ,          ,9,Stavba jiného než výše uvedeného způsobu využití,33910,610003,Město Brno,1, ,          ,          , ,2,bez výtahu,100140,Náměstí Svobody,10014,Náměstí Svobody,          ,          ,          , ,          ,          , ,          ,          ,19,Stavba jiného než výše uvedeného způsobu využití
http://apl.czso.cz/irso4/buddet.jsp?budid=1372720&idob=1017032301&b=11,6203,Brno,62031,Brno,60200,1017032301,18948499,Brno 2,1372720,411582,Brno-město,411582,Brno-město,číslo popisné, , ,4,Bytový dům, ,          ,          , ,12,Obec, ,3,obec,ano,,2887,"Finanční úřad pro Jihomoravský kraj, územní pracoviště Brno I",610003,Město Brno,112211,Budovy tří a vícebytové - typové,505990702,Solniční,636,3A,3115 (CZ064),Jihomoravský kraj, ,10,"Kámen, cihly, tvárnice vč. kombinací",8265,Úřad městské části Brno-střed - Matrika,550973,Brno-střed,          ,          , ,5,5 podlaží,582786,Brno,          ,          ,          , ,8,30-39,40711 (CZ0642),Brno-město,1017032301,22,9,20-29 bytů, ,8,30-39,6,6,6 podlaží,          ,          ,          ,0,ne, ,1,Přípoj na kanalizační síť, ,1,Plyn z veřejné sítě, ,1,Vodovod v domě - z veřejné sítě, ,1,s vodovodem,2005640000,,1,          ,          ,535109,Statistický obvod 1143,607111,Stavební úřad - Úřad městské části Brno-střed, ,          ,          , ,          ,          , ,8,30-39,3,Budova pro bydlení,31950,610003,Město Brno,1, ,3,1920-1945, ,2,bez výtahu,100140,Náměstí Svobody,10014,Náměstí Svobody,          ,          ,          , ,8,Bez ústředního topení, ,3,lokální (kotel nebo jiné topidlo v bytě),3,Budova pro bydlení
